,X-axis,Y-Axis,Z-Axis
1223,45,-117,964
1224,25,-134,940
1225,-27,-129,936
1226,-39,-135,920
1227,-59,-122,946
1228,-55,-120,958
1229,-65,-117,978
1230,-37,-70,980
1231,-49,-88,1014
1232,-19,-35,980
1233,-40,-30,1014
1234,0,32,980
1235,2,19,994
1236,57,14,1029
1237,126,34,1009
1238,177,-23,1073
1239,203,-15,1119
1240,191,-31,1143
1241,164,-61,1191
1242,125,-81,1179
1243,51,-74,1212
1244,-42,-116,1267
1245,-32,-141,1280
1246,-96,-165,1281
1247,-65,-158,1265
1248,-60,-162,1212
1249,-73,-138,1146
1250,-83,-43,999
1251,-100,-66,972
1252,-45,-3,884
1253,-67,-3,831
1254,-55,-2,799
1255,24,15,742
1256,61,-38,731
1257,161,-8,687
1258,229,-27,708
1259,259,-20,710
1260,240,-31,752
1261,191,-29,802
1262,141,-41,879
1263,60,-66,968
1264,24,-139,1088
1265,-29,-165,1195
1266,-57,-164,1275
1267,-113,-182,1333
1268,-129,-147,1356
1269,-135,-110,1390
1270,-136,-91,1354
1271,-112,-54,1324
1272,-81,-65,1247
1273,-16,-50,1213
1274,41,-53,1180
1275,140,-8,1118
1276,184,-4,1075
1277,204,9,992
1278,173,9,928
1279,133,17,893
1280,87,-8,876
1281,67,-41,853
1282,61,-48,871
1283,50,-85,878
1284,40,-92,917
1285,21,-99,929
1286,-30,-126,938
1287,-74,-116,909
1288,-137,-146,908
1289,-204,-212,910
1290,-174,-198,856
1291,-165,-161,818
1292,-101,-122,775
1293,17,-62,756
1294,121,-8,722
1295,174,28,770
1296,212,54,817
1297,219,71,835
1298,151,21,955
1299,135,-12,1110
1300,90,-52,1220
1301,88,-75,1309
1302,64,-127,1410
1303,84,-113,1496
1304,47,-96,1551
1305,-32,-93,1597
1306,-92,-107,1522
1307,-164,-135,1394
1308,-226,-164,1284
1309,-240,-160,1159
1310,-193,-161,1087
1311,-44,-139,956
1312,66,-61,833
1313,165,10,701
1314,232,39,598
1315,222,46,550
1316,171,55,503
1317,97,19,470
1318,54,-32,472
1319,0,-96,506
1320,11,-111,562
1321,47,-95,624
1322,85,-94,720
1323,101,-59,786
1324,71,-50,895
1325,28,-40,1011
1326,-59,-22,1127
1327,-141,-65,1236
1328,-144,-111,1315
1329,-140,-167,1409
1330,-95,-164,1454
1331,-36,-179,1564
1332,37,-149,1551
1333,94,-105,1535
1334,169,-41,1449
1335,135,-13,1402
1336,147,28,1287
1337,73,41,1201
1338,76,36,1091
1339,99,-8,975
1340,105,0,910
1341,121,-9,878
1342,117,-17,735
1343,20,-50,621
1344,-18,-88,530
1345,-98,-94,503
1346,-156,-159,544
1347,-139,-143,533
1348,-113,-188,592
1349,-38,-160,629
1350,22,-146,716
1351,39,-141,799
1352,79,-90,874
1353,80,-90,931
1354,44,-66,1023
1355,36,-27,1065
1356,8,-43,1161
1357,41,-13,1226
1358,74,11,1265
1359,101,36,1295
1360,104,17,1339
1361,133,63,1316
1362,103,39,1352
1363,107,52,1322
1364,86,0,1341
1365,35,-63,1345
1366,11,-89,1336
1367,-50,-137,1328
1368,-30,-124,1287
1369,-33,-163,1221
1370,-21,-150,1144
1371,-51,-164,1056
1372,-71,-159,964
1373,-71,-182,857
